LAM ,B1   ,201809160955,174,1001001009
LAM ,B1   ,201809160956,122,1001001009
LAM ,B1   ,201809160957,161,1001001009
LAM ,B1   ,201809160958,140,1001001009
LAM ,B1   ,201809160959,105,1001001009
LAM ,B1   ,201809161000,157,1001001009
LAM ,B1   ,201809161001,137,1001001009
LAM ,B1   ,201809161002,125,1001001009
LAM ,B1   ,201809161003,119,1001001009
LAM ,B1   ,201809161004,103,1001001009
LAM ,B1   ,201809161005,154,1001001009
LAM ,B1   ,201809161006,133,1001001009
LAM ,B1   ,201809161007,107,1001001009
LAM ,B1   ,201809161008,134,1001001009
LAM ,B1   ,201809161009,108,1001001009
LAM ,B1   ,201809161010,121,1001001009
LAM ,B1   ,201809161011,84,1001001009
LAM ,B1   ,201809161012,127,1001001009
LAM ,B1   ,201809161013,144,1001001009
LAM ,B1   ,201809161014,125,1001001009
LAM ,B1   ,201809161015,115,1001001009
LAM ,B1   ,201809161016,114,1001001009
LAM ,B1   ,201809161017,121,1001001009
LAM ,B1   ,201809161018,126,1001001009
LAM ,B1   ,201809161019,179,1001001009
LAM ,B1   ,201809161020,183,1001001009
LAM ,B1   ,201809161021,213,1001001009
LAM ,B1   ,201809161022,160,1001001009
LAM ,B1   ,201809161023,194,1001001009
LAM ,B1   ,201809161024,161,1001001009
LAM ,B1   ,201809161025,153,1001001009
LAM ,B1   ,201809161026,134,1001001009
LAM ,B1   ,201809161027,136,1001001009
LAM ,B1   ,201809161028,167,1001001009
LAM ,B1   ,201809161029,144,1001001009
LAM ,B1   ,201809161030,159,1001001009
LAM ,B1   ,201809161031,129,1001001009
LAM ,B1   ,201809161032,194,1001001009
LAM ,B1   ,201809161033,120,1001001009
LAM ,B1   ,201809161034,128,1001001009
LAM ,B1   ,201809161035,146,1001001009
